u,,,,,,,
,,,,,,,
일시,,,,,,2014년 08월 19일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"55,074.00 kWh",최대수요,"3,085.44 kW",무효전력량,,
역률최대,,지상 : 23시 00분 98.28 %,역률최소,지상 : 11시 00분 97.36 %,"지상 : 10,640.40 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,494.24","1,576.32",162.72,0,-,100,
2,"1,437.60","1,448.64",133.44,0,-,100,
3,"1,431.84","1,435.20",126.48,0,-,100,
4,"1,472.40","1,539.84",158.64,0,-,100,
5,"1,555.44","1,630.08",168.72,0,-,100,
6,"1,749.60","1,788.48",209.04,0,-,100,
7,"1,864.56","1,907.52",229.92,0,-,100,
8,"2,285.04","2,629.44",404.64,0,-,100,
9,"2,937.60","3,029.76",669.12,0,-,100,
10,"3,073.92","3,085.44",709.68,0,97.44,-,
11,"3,046.56","3,065.28",706.08,0,97.42,-,
12,"2,977.68","3,017.28",687.84,0,97.43,-,
13,"2,958.72","2,976.00",673.92,0,97.5,-,
14,"2,986.80","3,004.80",685.44,0,97.47,-,
15,"3,000.00","3,030.72",676.08,0,97.55,-,
16,"2,970.48","2,995.20",666.48,0,97.57,-,
17,"2,882.40","2,920.32",627.36,0,97.71,-,
18,"2,693.28","2,820.48",585.6,0,97.72,-,
19,"2,250.00","2,325.12",437.52,0,98.16,-,
20,"2,173.68","2,186.88",419.04,0,98.19,-,
21,"2,130.00","2,162.88",416.88,0,98.14,-,
22,"2,024.88","2,041.92",391.92,0,98.18,-,
23,"1,890.00","1,945.92",358.32,0,98.25,-,
24,"1,787.28","1,807.68",335.52,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,394.08,"1,576.32",53.76,0,99.08,100,
30,372.96,"1,491.84",40.32,0,99.42,100,
45,364.08,"1,456.32",32.88,0,99.59,100,
100,363.12,"1,452.48",35.76,0,99.52,100,
115,360.24,"1,440.96",35.04,0,99.53,100,
130,355.44,"1,421.76",31.68,0,99.61,100,
145,362.16,"1,448.64",33.84,0,99.57,100,
200,359.76,"1,439.04",32.88,0,99.58,100,
215,358.56,"1,434.24",31.2,0,99.62,100,
230,357.36,"1,429.44",30.48,0,99.64,100,
245,357.12,"1,428.48",31.92,0,99.6,100,
300,358.8,"1,435.20",32.88,0,99.58,100,
315,357.36,"1,429.44",33.36,0,99.57,100,
330,360.72,"1,442.88",36.48,0,99.49,100,
345,369.36,"1,477.44",40.08,0,99.42,100,
400,384.96,"1,539.84",48.72,0,99.21,100,
415,372.96,"1,491.84",37.68,0,99.49,100,
430,385.92,"1,543.68",42,0,99.41,100,
445,389.04,"1,556.16",40.56,0,99.46,100,
500,407.52,"1,630.08",48.48,0,99.3,100,
515,424.08,"1,696.32",49.44,0,99.33,100,
530,433.2,"1,732.80",51.12,0,99.31,100,
545,445.2,"1,780.80",53.04,0,99.3,100,
600,447.12,"1,788.48",55.44,0,99.24,100,
615,458.4,"1,833.60",60.72,0,99.13,100,
630,460.56,"1,842.24",53.52,0,99.33,100,
645,468.72,"1,874.88",55.2,0,99.31,100,
700,476.88,"1,907.52",60.48,0,99.21,100,
715,513.6,"2,054.40",77.52,0,98.88,100,
730,540.72,"2,162.88",86.16,0,98.75,100,
745,573.36,"2,293.44",97.2,0,98.59,100,
800,657.36,"2,629.44",143.76,0,97.69,100,
815,693.36,"2,773.44",158.4,0,97.49,100,
830,734.4,"2,937.60",167.28,0,97.5,100,
845,757.44,"3,029.76",176.64,0,97.39,100,
900,752.4,"3,009.60",166.8,0,97.63,100,
915,766.08,"3,064.32",178.08,0,97.4,100,
930,768.24,"3,072.96",175.92,0,97.48,100,
945,771.36,"3,085.44",180.24,0,97.38,100,
1000,768.24,"3,072.96",175.44,0,97.49,100,
1015,763.2,"3,052.80",173.04,0,97.52,100,
1030,756.72,"3,026.88",175.2,0,97.42,100,
1045,766.32,"3,065.28",180.24,0,97.34,100,
1100,760.32,"3,041.28",177.6,0,97.38,100,
1115,754.32,"3,017.28",177.12,0,97.35,100,
1130,737.52,"2,950.08",165.6,0,97.57,100,
1145,740.4,"2,961.60",168.72,0,97.5,100,
1200,745.44,"2,981.76",176.4,0,97.31,100,
1215,740.4,"2,961.60",174.24,0,97.34,100,
1230,744,"2,976.00",169.44,0,97.5,100,
1245,736.32,"2,945.28",165.12,0,97.58,100,
1300,738,"2,952.00",165.12,0,97.59,100,
1315,741.36,"2,965.44",168.24,0,97.52,100,
1330,750,"3,000.00",177.36,0,97.32,100,
1345,751.2,"3,004.80",174.24,0,97.41,100,
1400,744.24,"2,976.96",165.6,0,97.61,100,
1415,743.76,"2,975.04",165.12,0,97.62,100,
1430,751.44,"3,005.76",169.68,0,97.54,100,
1445,757.68,"3,030.72",173.52,0,97.48,100,
1500,747.12,"2,988.48",167.76,0,97.57,100,
1515,730.8,"2,923.20",159.84,0,97.69,100,
1530,744.72,"2,978.88",167.28,0,97.57,100,
1545,746.16,"2,984.64",166.8,0,97.59,100,
1600,748.8,"2,995.20",172.56,0,97.45,100,
1615,730.08,"2,920.32",161.76,0,97.63,100,
1630,721.92,"2,887.68",156.48,0,97.73,100,
1645,720,"2,880.00",156.24,0,97.73,100,
1700,710.4,"2,841.60",152.88,0,97.76,100,
1715,705.12,"2,820.48",148.8,0,97.85,100,
1730,700.08,"2,800.32",153.84,0,97.67,100,
1745,668.88,"2,675.52",148.8,0,97.61,100,
1800,619.2,"2,476.80",134.16,0,97.73,100,
1815,581.28,"2,325.12",114.24,0,98.12,100,
1830,552.24,"2,208.96",104.16,0,98.27,100,
1845,551.52,"2,206.08",104.4,0,98.26,100,
1900,564.96,"2,259.84",114.72,0,98,100,
1915,546.72,"2,186.88",110.16,0,98.03,100,
1930,542.16,"2,168.64",102.96,0,98.24,100,
1945,539.28,"2,157.12",99.84,0,98.33,100,
2000,545.52,"2,182.08",106.08,0,98.16,100,
2015,540.72,"2,162.88",104.88,0,98.17,100,
2030,523.68,"2,094.72",99.36,0,98.25,100,
2045,534.48,"2,137.92",105.36,0,98.11,100,
