???????,,,,,,,
,,,,,,,
??,,,,,,2014? 12? 10?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"47,119.68 kWh",????,"2,638.08 kW",?????,,
????,,?? : 22? 00? 97.37 %,????,?? : 12? 30? 96.67 %,"?? : 11,936.40 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,410.48","1,420.80",367.68,0,-,100,
2,"1,392.00","1,410.24",365.04,0,-,100,
3,"1,402.08","1,421.76",375.6,0,-,100,
4,"1,376.64","1,391.04",365.28,0,-,100,
5,"1,491.60","1,514.88",382.56,0,-,100,
6,"1,608.72","1,635.84",390.72,0,-,100,
7,"1,831.44","1,905.60",436.08,0,-,100,
8,"2,076.24","2,296.32",532.08,0,-,100,
9,"2,431.44","2,520.00",650.4,0,-,100,
10,"2,538.72","2,596.80",656.64,0,96.81,-,
11,"2,587.68","2,638.08",656.4,0,96.93,-,
12,"2,553.60","2,633.28",651.84,0,96.89,-,
13,"2,491.92","2,510.40",651.36,0,96.75,-,
14,"2,518.56","2,577.60",660,0,96.73,-,
15,"2,467.44","2,479.68",608.4,0,97.09,-,
16,"2,391.36","2,422.08",602.16,0,96.97,-,
17,"2,327.76","2,337.60",584.16,0,96.99,-,
18,"2,208.48","2,302.08",545.04,0,97.09,-,
19,"1,881.84","1,944.96",450,0,97.26,-,
20,"1,821.36","1,845.12",442.32,0,97.18,-,
21,"1,727.04","1,750.08",422.64,0,97.13,-,
22,"1,613.04","1,669.44",384.72,0,97.27,-,
23,"1,517.76","1,565.76",381.12,0,96.99,-,
24,"1,452.48","1,459.20",374.16,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,355.2,"1,420.80",90.24,0,96.92,100,
30,350.16,"1,400.64",89.28,0,96.9,100,
45,350.4,"1,401.60",91.44,0,96.76,100,
100,354.72,"1,418.88",96.72,0,96.48,100,
115,345.12,"1,380.48",90.96,0,96.7,100,
130,352.56,"1,410.24",93.12,0,96.68,100,
145,351.84,"1,407.36",91.68,0,96.77,100,
200,342.48,"1,369.92",89.28,0,96.77,100,
215,348.48,"1,393.92",89.52,0,96.86,100,
230,349.68,"1,398.72",92.88,0,96.65,100,
245,348.48,"1,393.92",94.8,0,96.49,100,
300,355.44,"1,421.76",98.4,0,96.38,100,
315,345.12,"1,380.48",92.64,0,96.58,100,
330,339.36,"1,357.44",89.76,0,96.68,100,
345,344.4,"1,377.60",89.76,0,96.77,100,
400,347.76,"1,391.04",93.12,0,96.6,100,
415,364.8,"1,459.20",94.56,0,96.8,100,
430,373.44,"1,493.76",96.48,0,96.82,100,
445,374.64,"1,498.56",95.52,0,96.9,100,
500,378.72,"1,514.88",96,0,96.93,100,
515,408,"1,632.00",108.48,0,96.64,100,
530,396,"1,584.00",96.48,0,97.16,100,
545,395.76,"1,583.04",90.96,0,97.46,100,
600,408.96,"1,635.84",94.8,0,97.42,100,
615,431.52,"1,726.08",99.84,0,97.43,100,
630,451.2,"1,804.80",108.72,0,97.22,100,
645,472.32,"1,889.28",114.48,0,97.19,100,
700,476.4,"1,905.60",113.04,0,97.3,100,
715,487.92,"1,951.68",116.4,0,97.27,100,
730,495.84,"1,983.36",121.2,0,97.14,100,
745,518.4,"2,073.60",136.32,0,96.71,100,
800,574.08,"2,296.32",158.16,0,96.41,100,
815,593.76,"2,375.04",159.6,0,96.57,100,
830,595.2,"2,380.80",159.12,0,96.61,100,
845,612.48,"2,449.92",160.56,0,96.73,100,
900,630,"2,520.00",171.12,0,96.5,100,
915,636,"2,544.00",172.56,0,96.51,100,
930,626.64,"2,506.56",160.8,0,96.86,100,
945,626.88,"2,507.52",157.92,0,96.97,100,
1000,649.2,"2,596.80",165.36,0,96.91,100,
1015,643.2,"2,572.80",166.32,0,96.82,100,
1030,635.28,"2,541.12",159.36,0,96.99,100,
1045,649.68,"2,598.72",162.48,0,97.01,100,
1100,659.52,"2,638.08",168.24,0,96.9,100,
1115,658.32,"2,633.28",170.16,0,96.82,100,
1130,645.6,"2,582.40",167.52,0,96.79,100,
1145,626.88,"2,507.52",156,0,97.04,100,
1200,622.8,"2,491.20",158.16,0,96.92,100,
1215,626.16,"2,504.64",164.64,0,96.71,100,
1230,627.6,"2,510.40",167.04,0,96.64,100,
1245,626.16,"2,504.64",163.92,0,96.74,100,
1300,612,"2,448.00",155.76,0,96.91,100,
1315,625.68,"2,502.72",163.2,0,96.76,100,
1330,626.4,"2,505.60",166.08,0,96.66,100,
1345,644.4,"2,577.60",171.6,0,96.63,100,
1400,622.08,"2,488.32",159.12,0,96.88,100,
1415,619.2,"2,476.80",150.96,0,97.15,100,
1430,619.92,"2,479.68",145.92,0,97.34,100,
1445,615.36,"2,461.44",155.28,0,96.96,100,
1500,612.96,"2,451.84",156.24,0,96.9,100,
1515,605.52,"2,422.08",151.68,0,97,100,
1530,605.52,"2,422.08",151.92,0,96.99,100,
1545,597.36,"2,389.44",146.88,0,97.11,100,
1600,582.96,"2,331.84",151.68,0,96.78,100,
1615,584.4,"2,337.60",153.84,0,96.71,100,
1630,583.68,"2,334.72",149.04,0,96.89,100,
1645,579.84,"2,319.36",142.8,0,97.1,100,
1700,579.84,"2,319.36",138.48,0,97.26,100,
1715,575.52,"2,302.08",135.84,0,97.33,100,
1730,573.84,"2,295.36",140.16,0,97.14,100,
1745,545.04,"2,180.16",139.44,0,96.88,100,
1800,514.08,"2,056.32",129.6,0,96.97,100,
1815,486.24,"1,944.96",113.76,0,97.37,100,
1830,471.36,"1,885.44",111.6,0,97.31,100,
1845,463.44,"1,853.76",112.08,0,97.2,100,
1900,460.8,"1,843.20",112.56,0,97.14,100,
1915,461.28,"1,845.12",115.2,0,97.02,100,
1930,461.04,"1,844.16",111.36,0,97.2,100,
1945,456.48,"1,825.92",111.36,0,97.15,100,
2000,442.56,"1,770.24",104.4,0,97.33,100,
2015,435.6,"1,742.40",103.2,0,97.31,100,
2030,426.48,"1,705.92",102.48,0,97.23,100,
2045,437.52,"1,750.08",109.2,0,97.02,100,
2100,427.44,"1,709.76",107.76,0,96.97,100,
2115,417.36,"1,669.44",101.28,0,97.18,100,
2130,409.68,"1,638.72",99.6,0,97.17,100,
2145,396.48,"1,585.92",92.4,0,97.39,100,
2200,389.52,"1,558.08",91.44,0,97.35,100,
2215,391.44,"1,565.76",94.8,0,97.19,100,
2230,389.28,"1,557.12",99.84,0,96.86,100,
2245,374.16,"1,496.64",95.28,0,96.91,100,
2300,362.88,"1,451.52",91.2,0,96.98,100,
2315,360.96,"1,443.84",87.36,0,97.19,100,
2330,364.8,"1,459.20",95.76,0,96.72,100,
2345,364.56,"1,458.24",95.28,0,96.75,100,
