사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 02월 13일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"48,739.68 kWh",최대수요,"2,674.56 kW",무효전력량,,
역률최대,,지상 : 18시 30분 97.24 %,역률최소,지상 : 23시 00분 96.42 %,"지상 : 12,336.72 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,496.88","1,500.48",403.2,0,-,100,
2,"1,492.80","1,530.24",406.56,0,-,100,
3,"1,466.40","1,498.56",384.24,0,-,100,
4,"1,447.44","1,456.32",372.24,0,-,100,
5,"1,545.12","1,559.04",382.32,0,-,100,
6,"1,640.88","1,684.80",383.76,0,-,100,
7,"1,880.40","2,015.04",464.16,0,-,100,
8,"2,227.92","2,341.44",577.2,0,-,100,
9,"2,563.92","2,640.00",653.04,0,-,100,
10,"2,623.20","2,655.36",653.28,0,97.04,-,
11,"2,619.36","2,674.56",642.72,0,97.12,-,
12,"2,637.12","2,645.76",650.64,0,97.09,-,
13,"2,529.12","2,588.16",633.6,0,97,-,
14,"2,525.76","2,555.52",620.16,0,97.12,-,
15,"2,532.72","2,557.44",626.64,0,97.07,-,
16,"2,480.88","2,534.40",638.4,0,96.84,-,
17,"2,412.24","2,440.32",625.68,0,96.8,-,
18,"2,213.52","2,283.84",559.68,0,96.95,-,
19,"1,998.96","2,077.44",480.72,0,97.23,-,
20,"1,864.08","1,880.64",471.12,0,96.95,-,
21,"1,786.32","1,819.20",462.96,0,96.8,-,
22,"1,678.56","1,733.76",419.28,0,97.02,-,
23,"1,568.16","1,583.04",423.84,0,96.54,-,
24,"1,507.92","1,527.36",401.28,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,372.96,"1,491.84",98.64,0,96.68,100,
30,374.4,"1,497.60",102,0,96.48,100,
45,374.4,"1,497.60",102.24,0,96.47,100,
100,375.12,"1,500.48",100.32,0,96.61,100,
115,382.56,"1,530.24",105.36,0,96.41,100,
130,369.36,"1,477.44",101.76,0,96.41,100,
145,368.88,"1,475.52",100.8,0,96.46,100,
200,372,"1,488.00",98.64,0,96.66,100,
215,374.64,"1,498.56",100.56,0,96.58,100,
230,367.68,"1,470.72",96.48,0,96.73,100,
245,364.08,"1,456.32",94.8,0,96.77,100,
300,360,"1,440.00",92.4,0,96.86,100,
315,360,"1,440.00",93.12,0,96.81,100,
330,363.84,"1,455.36",93.84,0,96.83,100,
345,364.08,"1,456.32",94.56,0,96.79,100,
400,359.52,"1,438.08",90.72,0,96.96,100,
415,380.88,"1,523.52",97.44,0,96.88,100,
430,388.8,"1,555.20",97.68,0,96.99,100,
445,385.68,"1,542.72",93.84,0,97.17,100,
500,389.76,"1,559.04",93.36,0,97.25,100,
515,396,"1,584.00",93.12,0,97.34,100,
530,405.6,"1,622.40",99.12,0,97.14,100,
545,418.08,"1,672.32",98.16,0,97.35,100,
600,421.2,"1,684.80",93.36,0,97.63,100,
615,438.48,"1,753.92",108.48,0,97.07,100,
630,454.56,"1,818.24",112.08,0,97.09,100,
645,483.6,"1,934.40",119.04,0,97.1,100,
700,503.76,"2,015.04",124.56,0,97.08,100,
715,530.4,"2,121.60",137.28,0,96.81,100,
730,555.84,"2,223.36",148.8,0,96.6,100,
745,556.32,"2,225.28",142.8,0,96.86,100,
800,585.36,"2,341.44",148.32,0,96.94,100,
815,609.6,"2,438.40",154.56,0,96.93,100,
830,645.36,"2,581.44",166.32,0,96.84,100,
845,648.96,"2,595.84",167.28,0,96.83,100,
900,660,"2,640.00",164.88,0,97.02,100,
915,655.2,"2,620.80",163.68,0,97.02,100,
930,653.76,"2,615.04",164.64,0,96.97,100,
945,663.84,"2,655.36",165.36,0,97.03,100,
1000,650.4,"2,601.60",159.6,0,97.12,100,
1015,641.52,"2,566.08",155.28,0,97.19,100,
1030,647.04,"2,588.16",157.68,0,97.16,100,
1045,662.16,"2,648.64",165.12,0,97.03,100,
1100,668.64,"2,674.56",164.64,0,97.1,100,
1115,658.32,"2,633.28",159.12,0,97.2,100,
1130,657.84,"2,631.36",158.64,0,97.21,100,
1145,659.52,"2,638.08",161.76,0,97.12,100,
1200,661.44,"2,645.76",171.12,0,96.81,100,
1215,647.04,"2,588.16",168.72,0,96.76,100,
1230,619.2,"2,476.80",149.28,0,97.21,100,
1245,625.68,"2,502.72",155.28,0,97.06,100,
1300,637.2,"2,548.80",160.32,0,96.98,100,
1315,638.88,"2,555.52",159.84,0,97.01,100,
1330,634.32,"2,537.28",154.8,0,97.15,100,
1345,629.76,"2,519.04",151.44,0,97.23,100,
1400,622.8,"2,491.20",154.08,0,97.07,100,
