time,energy,WS,TA,HM
45,438,2,23,99.9
100,447.84,9,22.8,99.9
115,459.36,1,22.8,99.9
130,438.96,1,22.7,99.9
145,437.52,0,22.9,99.9
200,435.6,0,22.7,99.9
215,453.6,3,22.6,99.9
230,432,0,22.7,99.9
245,433.68,0,22.6,99.9
300,438,0,22.5,99.9
315,434.4,1,22.5,99.9
330,429.6,2,22.6,99.9
345,441.36,3,22.5,99.9
400,438.72,0,22.4,99.9
415,447.12,0,22.5,99.9
430,461.52,4,22.5,99.9
445,462.72,3,22.5,99.9
500,467.28,6,22.4,99.9
515,487.2,0,22.3,99.9
530,501.6,0,22.2,99.9
545,504.48,2,22.2,99.9
600,515.04,2,22.1,99.9
615,544.08,4,22.2,99.9
630,541.68,4,22.2,99.9
645,550.56,1,22.3,99.9
700,575.04,3,22.6,99.9
715,616.8,4,22.8,99.9
730,647.52,9,23.3,99.9
745,672.48,9,23.7,99.3
800,715.68,11,24.2,97.8
815,753.12,7,24.6,95.6
830,776.64,12,25.2,92.6
845,792.24,8,26,88.1
900,790.8,1,26.8,84.7
915,789.12,7,27.4,79.7
930,807.6,0,27.9,77.1
945,815.04,5,28.7,72.6
1000,836.64,3,29,74.1
1015,832.56,8,29.8,71.6
1030,837.12,18,29.8,72.4
1045,828.48,7,30,70.1
1100,833.28,3,30.1,67.9
1115,843.12,12,30.2,68.5
1130,834.48,3,30.5,65
1145,820.32,2,30.7,68.1
1200,814.8,20,31.3,68.4
1215,832.56,4,31.6,65.7
1230,830.4,15,32.7,59.3
1245,820.8,11,32.9,56.7
1300,813.6,8,33.2,55
1315,808.8,7,33.1,57
1330,818.16,14,33.9,57.1
1345,823.2,15,34.1,52.3
1400,813.6,28,33.6,50.3
1415,816,11,34.3,48.9
1430,815.04,9,34.2,49.5
1445,819.12,7,34.5,50.7
1500,823.2,3,33.6,54.2
1515,817.2,22,33.2,53.7
1530,805.68,7,33.2,57.1
1545,803.28,2,32.4,63
1600,801.6,19,33.2,59.3
