???????,,,,,,,
,,,,,,,
??,,,,,,2014? 11? 08?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"35,371.68 kWh",????,"1,881.60 kW",?????,,
????,,?? : 19? 00? 98.87 %,????,?? : 13? 00? 97.66 %,"?? : 7,004.40 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,182.96","1,205.76",234.48,0,-,100,
2,"1,188.48","1,201.92",229.44,0,-,100,
3,"1,190.40","1,213.44",225.6,0,-,100,
4,"1,187.76","1,195.20",228,0,-,100,
5,"1,278.24","1,344.96",241.2,0,-,100,
6,"1,399.44","1,461.12",260.4,0,-,100,
7,"1,542.24","1,642.56",307.2,0,-,100,
8,"1,695.84","1,772.16",370.08,0,-,100,
9,"1,812.96","1,856.64",382.56,0,-,100,
10,"1,847.04","1,872.96",390.72,0,97.83,-,
11,"1,845.12","1,881.60",375.6,0,97.99,-,
12,"1,822.56","1,874.88",386.4,0,97.83,-,
13,"1,745.04","1,786.56",368.4,0,97.84,-,
14,"1,636.32","1,661.76",324,0,98.1,-,
15,"1,580.88","1,635.84",312.24,0,98.1,-,
16,"1,477.44","1,552.32",272.88,0,98.34,-,
17,"1,436.88","1,451.52",254.88,0,98.46,-,
18,"1,432.32","1,468.80",238.32,0,98.64,-,
19,"1,383.12","1,433.28",212.16,0,98.84,-,
20,"1,435.44","1,463.04",290.4,0,98.01,-,
21,"1,385.52","1,410.24",262.08,0,98.26,-,
22,"1,320.00","1,343.04",276.96,0,97.87,-,
23,"1,281.12","1,300.80",275.28,0,97.77,-,
24,"1,264.56","1,341.12",285.12,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,301.44,"1,205.76",61.92,0,97.95,100,
30,297.84,"1,191.36",57.6,0,98.18,100,
45,292.08,"1,168.32",56.88,0,98.16,100,
100,291.6,"1,166.40",58.08,0,98.07,100,
115,293.28,"1,173.12",60.24,0,97.96,100,
130,296.64,"1,186.56",55.92,0,98.27,100,
145,298.08,"1,192.32",55.44,0,98.31,100,
200,300.48,"1,201.92",57.84,0,98.2,100,
215,303.36,"1,213.44",61.68,0,97.99,100,
230,301.2,"1,204.80",55.2,0,98.36,100,
245,294.72,"1,178.88",54.48,0,98.33,100,
300,291.12,"1,164.48",54.24,0,98.31,100,
315,297.36,"1,189.44",58.56,0,98.12,100,
330,298.8,"1,195.20",57.36,0,98.21,100,
345,293.52,"1,174.08",55.2,0,98.28,100,
400,298.08,"1,192.32",56.88,0,98.23,100,
415,301.92,"1,207.68",55.68,0,98.34,100,
430,308.88,"1,235.52",55.92,0,98.4,100,
445,331.2,"1,324.80",64.56,0,98.15,100,
500,336.24,"1,344.96",65.04,0,98.18,100,
515,340.08,"1,360.32",61.68,0,98.39,100,
530,346.08,"1,384.32",62.88,0,98.39,100,
545,348,"1,392.00",62.16,0,98.44,100,
600,365.28,"1,461.12",73.68,0,98.03,100,
615,362.4,"1,449.60",68.16,0,98.28,100,
630,372,"1,488.00",68.64,0,98.34,100,
645,397.2,"1,588.80",82.56,0,97.91,100,
700,410.64,"1,642.56",87.84,0,97.79,100,
715,410.4,"1,641.60",88.32,0,97.76,100,
730,423.12,"1,692.48",92.64,0,97.69,100,
745,419.28,"1,677.12",90.48,0,97.75,100,
800,443.04,"1,772.16",98.64,0,97.61,100,
815,457.2,"1,828.80",97.68,0,97.79,100,
830,440.4,"1,761.60",90.72,0,97.94,100,
845,451.2,"1,804.80",94.56,0,97.87,100,
900,464.16,"1,856.64",99.6,0,97.77,100,
915,450.48,"1,801.92",96.24,0,97.79,100,
