사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 05월 08일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"38,194.32 kWh",최대수요,"2,106.24 kW",무효전력량,,
역률최대,,지상 : 21시 00분 98.13 %,역률최소,지상 : 15시 30분 97.53 %,"지상 : 8,039.52 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,149.12","1,170.24",228.96,0,-,100,
2,"1,149.84","1,177.92",232.8,0,-,100,
3,"1,126.08","1,139.52",229.68,0,-,100,
4,"1,139.76","1,159.68",234.24,0,-,100,
5,"1,196.40","1,234.56",248.16,0,-,100,
6,"1,283.04","1,311.36",223.2,0,-,100,
7,"1,451.52","1,536.96",268.32,0,-,100,
8,"1,700.88","1,847.04",374.16,0,-,100,
9,"1,921.68","1,989.12",420.96,0,-,100,
10,"2,003.52","2,045.76",427.68,0,97.8,-,
11,"2,055.60","2,097.60",439.44,0,97.79,-,
12,"2,058.00","2,084.16",435.12,0,97.84,-,
13,"2,008.08","2,039.04",440.64,0,97.68,-,
14,"2,041.92","2,106.24",449.28,0,97.66,-,
15,"2,035.68","2,061.12",442.56,0,97.72,-,
16,"1,978.32","2,081.28",432.48,0,97.69,-,
17,"1,928.16","1,970.88",416.16,0,97.75,-,
18,"1,743.36","1,831.68",368.4,0,97.84,-,
19,"1,524.00","1,570.56",306.72,0,98.03,-,
20,"1,477.92","1,491.84",307.92,0,97.9,-,
21,"1,438.56","1,488.00",287.76,0,98.06,-,
22,"1,346.16","1,367.04",282.24,0,97.87,-,
23,"1,259.04","1,336.32",282,0,97.58,-,
24,"1,177.68","1,205.76",260.64,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,292.56,"1,170.24",60.96,0,97.9,100,
30,286.56,"1,146.24",57.12,0,98.07,100,
45,286.8,"1,147.20",57.6,0,98.04,100,
100,283.2,"1,132.80",53.28,0,98.28,100,
115,292.32,"1,169.28",57.6,0,98.11,100,
130,282,"1,128.00",55.2,0,98.14,100,
145,281.04,"1,124.16",55.92,0,98.08,100,
200,294.48,"1,177.92",64.08,0,97.71,100,
